filename,artist,title,tempo mean,tempo std,swing ?,swing ratio median,swing ratio iqr,swing confidence,meter,ternary ?,beat by measure
blues.00000.wav,John Lee Hooker,"One Bourbon, One Scotch And One Beer",125.87,6.25,yes,2.04,0.116,0.93548387096774188,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00001.wav,John Lee Hooker,I'm In The Mood For Love,67.77,1.13,yes,1.74,0.000,1.0,4/4,no,[4 4 4 4 4 4 4]
blues.00002.wav,John Lee Hooker,Think Twice Before You Go,157.57,6.29,yes,1.71,0.469,0.92207792207792205,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00003.wav,John Lee Hooker,I'm Bad Like Jesse James,62.35,1.42,yes,1.94,0.416,1.0,4/4,no,[4 4 4 4 4 4 4]
blues.00004.wav,John Lee Hooker,,133.24,1.84,yes,1.92,0.000,0.98484848484848486,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00005.wav,John Lee Hooker,Sugar Mama,68.77,1.94,yes,1.60,0.307,0.70588235294117652,4/4,no,[4 4 4 4 4 4 4 4]
blues.00006.wav,John Lee Hooker,Dreamin' Blues,73.25,4.56,yes,1.66,0.000,0.63888888888888884,4/4,no,[4 4 4 4 4 4 4 4]
blues.00007.wav,John Lee Hooker,Ground Hog Blues,93.32,5.75,yes,1.52,0.265,0.52173913043478259,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00008.wav,John Lee Hooker,Shake It Baby,169.41,9.08,yes,1.58,0.006,0.83333333333333337,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00009.wav,John Lee Hooker,It's My Own Fault,81.86,0.87,yes,1.85,0.000,0.38461538461538464,4/4,no,[4 4 4 4 4 4 4 4 4]
blues.00010.wav,John Lee Hooker,Lonely Boy Boogie,80.14,1.61,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4]
blues.00011.wav,John Lee Hooker,It Serves Me Right To Suffer,55.60,0.46,yes,1.90,0.400,0.96296296296296291,2/4,no,[2 2 2 2 2 2 2 2 2 2 2 2 2]
blues.00012.wav,Robert Johnson,Cross Road Blues,93.68,3.30,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00013.wav,Robert Johnson,Terraplane Blues,107.12,4.21,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00014.wav,Robert Johnson,Come On In My Kitchen,84.07,5.15,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4]
blues.00015.wav,Robert Johnson,Walking blues,98.31,4.64,no,,,,,no,[4 4 3 4 4 4 3 3 3 4 4 4]
blues.00016.wav,Robert Johnson,Last Fair Deal Gone Down,100.85,8.35,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4]
blues.00017.wav,Robert Johnson,32-20 Blues,169.32,6.40,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00018.wav,Robert Johnson,Kind Hearted Woman Blues,82.43,1.94,yes,1.65,0.000,0.59999999999999998,4/4,no,[4 4 4 4 4 4 4 4 4 4]
blues.00019.wav,Robert Johnson,If I Had Possession Over Judgement Day,123.93,4.06,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00020.wav,Robert Johnson,Preachin' Blues,137.61,6.29,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00021.wav,Robert Johnson,When You Got A Good Friend,100.97,1.96,yes,1.57,0.000,0.5714285714285714,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4]
blues.00022.wav,Robert Johnson,Ramblin' On My Mind,98.17,3.98,yes,1.61,0.000,0.8125,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4]
blues.00023.wav,Robert Johnson,Stones In My Passway,96.80,2.95,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00024.wav,Robert Johnson,Traveling Riverside Blues,103.59,3.00,no,,,,2/4,no,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
blues.00025.wav,Robert Johnson,Milkcow's Calf Blues,95.33,9.51,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00026.wav,Robert Johnson,Me And The Devil Blues,81.31,5.60,yes,1.70,0.000,0.58974358974358976,4/4,no,[4 4 4 4 4 4 4 4 4]
blues.00027.wav,Robert Johnson,Hell Hound On My Trail,93.33,4.38,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00028.wav,Robert Johnson,Traveling Riverside Blues,103.84,3.07,no,,,,2/4,no,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
blues.00029.wav,Kelly Joe Phelps,The House Carpenter,126.46,6.19,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00030.wav,Kelly Joe Phelps,River Rat Jimmy,110.11,1.69,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00031.wav,Kelly Joe Phelps,Hobo's Son,116.48,3.82,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00032.wav,Kelly Joe Phelps,Katy,126.12,7.20,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00033.wav,Kelly Joe Phelps,Wandering Away,154.56,7.15,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00034.wav,Kelly Joe Phelps,Dock Boggs Country Blues,93.81,2.63,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4]
blues.00035.wav,Kelly Joe Phelps,Capman Bootman,129.60,5.51,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00036.wav,Kelly Joe Phelps,Train Carried My Girl From Town,113.22,5.94,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4 4 4 4 4 4]
blues.00037.wav,Kelly Joe Phelps,Piece By Piece,75.55,3.41,yes,1.46,0.272,0.86111111111111116,4/4,no,[4 4 4 4 4 4 4 4]
blues.00038.wav,Kelly Joe Phelps,Many A Time,85.52,4.88,no,,,,4/4,no,[4 4 4 4 4 4 4 4 4]
blues.00039.wav,Kelly Joe Phelps,Goodnight Irene,116.62,2.80,yes,1.71,0.495,0.2982456140350877,3/4,no,[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
