ID,DescEN
blues.00000_15s,Heavy blues with male vocals. Simple cutting with heavy use of guitar and obbligations in the high register of the piano. Strong bass and drums are heard in the background.
blues.00002_15s,Rhythmic blues. Obligatory trumpet obbligato and a guitar solo reminiscent of the 1950s. This piece recalls the live music of the time.
blues.00005_15s,"Slow blues musical piece. Sentimental atmosphere and relaxed playing style. The foot-stomping bass drum is impressive. Consists of only guitar, drums and vocals."
blues.00006_15s,This blues is played with twin guitars only. The lead guitar approaches the heavily chopped backing with an impressive riff that uses a lot of chalking. It is a relaxed playing style.
blues.00010_15s,"This is an instrumental piece with electric guitar in a bluesy, natural sound quality. The only background is a snare carved in-tempo, free-form improvisational performance. It would suit a thrilling scene."
blues.00011_15s,"Slow-style blues. The background consists of a narrative male vocal, with brushed drums, bass-heavy wood bass and heavily chiselled guitar cutting."
blues.00014_15s,This is a stretched vocal blues. The loose unison playing of the brass instruments adds a human touch. The background guitar is simple with mostly single notes. The radio-like sound quality suits the period piece.
blues.00015_15s,"The bluesy bluesy vocals and the tasty, low-tension one-string guitar are impressive. There is also a bit of guitar backing, whose dense tone adds depth to the song. The vocals are powerful, yet with a heartfelt emotional expression."
blues.00016_15s,"This is blues with voiceover vocals. The guitar in the background keeps the tempo by muting, except for the riff playing, and the steel guitar bottleneck technique is used for a targeted approach. The piece has a free image, not bound by harmonies."
blues.00017_15s,"It is lazy blues with a laid-back tempo and relaxed atmosphere. The band structure is simple, with the background rhythm punctuated by bass and guitar cutting. The impressive phrasing of the lead guitar gives the piece a nostalgic impression."
blues.00020_15s,"This is a blues with gravelly-voiced vocals. The rough, coarse and powerful voice is heard accompanied by a simple, bottleneck-played guitar only. It suits emotional and realistic scenes."
blues.00022_15s,This is a blues piece with male vocals. The guitar has a simple sound and plays standard blues-like riffs. The glassy melody by the extended voice fits well with uplifting and sentimental scenes.
blues.00023_15s,"This blues is performed by a deep and austere male vocalist. Rhythmic guitar backing is harmonised with light and colourful rhythm guitar, reminiscent of 1950s parties and the like."
blues.00026_15s,"This is a piece with languid lazy blues. Rhythm guitars play mainly low backing notes, while the lead guitar plays high riffs and chalking. It suits a relaxed atmosphere, e.g. in a bar."
blues.00028_15s,"Country blues with male vocals. Background is played by slide guitar. Country-like melody and lyrics are impressive. Suitable for relaxing scenes in harmony with the atmosphere, e.g. driving or travelling."
blues.00031_15s,"Blues ballad with sweet-voiced male vocalist. Three-finger style acoustic guitar and steel guitar melody can be heard. It suits live performances with a quiet atmosphere, emotional scenes or when you want to express your inner feelings."
blues.00033_15s,This is a blues piece with ballad-like melodic elements. The background is an emotional solo performance on acoustic guitar and impressive arpeggios. The sound source is given a deep resonance and suits moody scenes.
blues.00036_15s,"This is a mellow blues with warm male vocals. Flutelike, transparent vocals are heard over speedy guitar arpeggios. Deep music fits introspective and sensitive scenes."
blues.00038_15s,"Acoustic, groovy blues with attractive rhythms. Fast-paced vocals and a percussive, rhythmic solo guitar can be heard in the background. Suitable for lively scenes."
blues.00040_15s,"This is a blues piece with a full band. Energetic male vocals and powerful drum and guitar backing rhythms and powerful, passionate bass riffs are heard in the background."
blues.00041_15s,Shuffle blues with male vocals. Background with strong rhythmic drums and bass with open hi-hats and torquey snare can be heard. The melody has depth with well-distorted guitars.
blues.00042_15s,This is an instrumental piece with distorted lead guitar. Soulful and delicate phrasing is impressive. In the background you can hear heavy drums and grooving bass. The music is emotional and has a sense of depth.
blues.00045_15s,"This is a rhythmic solo guitar piece. The guitar phrases are heard to progress erratically and are complex and jumpy, while the speed is fast. The background is lively, propulsive rhythmic drums with an emphasis on bass and dynamic running bass."
blues.00046_15s,The blues is a light guitar melody and cutting blues. Transparent reverb and mid-tempo drums and bass are heard in the background. There is a melodic male vocal section introduced by a break in the second half.
blues.00047_15s,"Melodious drumming is heard with guitar phrases that have a lot of melodic elements with tremolo playing. A weighty, solid rhythm and snare roll is followed by a strong vocal section, with the bass chiming in."
blues.00048_15s,"This is powerful blues with shouted vocals. Guitar phrases are heard from the energetic cutting. It fits well at the beginning of the scene, the opening."
